id	所属任务	前置	描述	提示	提示	描述	地点	任务目标点X	任务目标点Y	有感叹号的NPCid	事件类型 1对话 2打怪 3采集 4交材料 5打怪计数 6穿戴装备 7打造装备 8学习技能 9达到等级 10战力达到 11副本 12打精英怪 13单独精英怪 14龙之塔 15竞技场	事件参数1	事件参数2	事件参数3	事件参数4	奖励1	奖励1	奖励1	奖励1	奖励2	奖励2	奖励2	奖励2	奖励3	奖励3	奖励3	奖励3
30601001	30601	30601000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30601001				3	1	30100100				1	1	40000	1	1	3	40000	1				
30602000	30602	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30602000	t_quest_sub_desc_30602000	6				2	6002	2														
30602001	30602	30602000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30602001				3	1	30100100				1	1	40000	1	1	3	40000	1				
30603000	30603	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30603000	t_quest_sub_desc_30603000	6				2	6003	2														
30603001	30603	30603000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30603001				3	1	30100100				1	1	40000	1	1	3	40000	1				
30604000	30604	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30604000	t_quest_sub_desc_30604000	6				2	6004	2														
30604001	30604	30604000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30604001				3	1	30100100				1	1	40000	1	1	3	40000	1				
30605000	30605	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30605000	t_quest_sub_desc_30605000	6				2	6005	2														
30605001	30605	30605000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30605001				3	1	30100100				1	1	40000	1	1	3	40000	1				
30606000	30606	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30606000	t_quest_sub_desc_30606000	6				2	6006	2														
30606001	30606	30606000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30606001				3	1	30100100				1	1	40000	1	1	3	40000	1				
30607000	30607	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30607000	t_quest_sub_desc_30607000	6				2	6007	2														
30607001	30607	30607000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30607001				3	1	30100100				1	1	40000	1	1	3	40000	1				
30608000	30608	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30608000	t_quest_sub_desc_30608000	6				2	6008	2														
30608001	30608	30608000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30608001				3	1	30100100				1	1	40000	1	1	3	40000	1				
30609000	30609	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30609000	t_quest_sub_desc_30609000	6				2	6009	2														
30609001	30609	30609000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30609001				3	1	30100100				1	1	40000	1	1	3	40000	1				
30610000	30610	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30610000	t_quest_sub_desc_30610000	6				2	6010	2														
30610001	30610	30610000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30610001				3	1	30100100				1	1	40000	1	1	3	40000	1				
30701000	30701	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30701000	t_quest_sub_desc_30701000	7				2	7001	2														
30701001	30701	30701000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30701001				3	1	30100100				1	1	100000	1	1	3	100000	1				
30702000	30702	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30702000	t_quest_sub_desc_30702000	7				2	7002	2														
30702001	30702	30702000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30702001				3	1	30100100				1	1	100000	1	1	3	100000	1				
30703000	30703	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30703000	t_quest_sub_desc_30703000	7				2	7003	2														
30703001	30703	30703000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30703001				3	1	30100100				1	1	100000	1	1	3	100000	1				
30704000	30704	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30704000	t_quest_sub_desc_30704000	7				2	7004	2														
30704001	30704	30704000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30704001				3	1	30100100				1	1	100000	1	1	3	100000	1				
30705000	30705	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30705000	t_quest_sub_desc_30705000	7				2	7005	2														
30705001	30705	30705000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30705001				3	1	30100100				1	1	100000	1	1	3	100000	1				
30706000	30706	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30706000	t_quest_sub_desc_30706000	7				2	7006	2														
30706001	30706	30706000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30706001				3	1	30100100				1	1	100000	1	1	3	100000	1				
30707000	30707	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30707000	t_quest_sub_desc_30707000	7				2	7007	2														
30707001	30707	30707000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30707001				3	1	30100100				1	1	100000	1	1	3	100000	1				
30708000	30708	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30708000	t_quest_sub_desc_30708000	7				2	7008	2														
30708001	30708	30708000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30708001				3	1	30100100				1	1	100000	1	1	3	100000	1				
30709000	30709	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30709000	t_quest_sub_desc_30709000	7				2	7009	2														
30709001	30709	30709000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30709001				3	1	30100100				1	1	100000	1	1	3	100000	1				
30710000	30710	0	讨伐<color=#fdc83a>xx</color>{n}个	消灭	t_quest_sub_tishi_30710000	t_quest_sub_desc_30710000	7				2	7010	2														
30710001	30710	30710000	与<color=#fdc83a>伊迪丝</color>对话交纳任务			t_quest_sub_desc_30710001				3	1	30100100				1	1	100000	1	1	3	100000	1				
