id	角色id	等级	生命	攻击	防御	被动	技能等级	每轮技能间隔	技能顺序间隔	技能顺序	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔	技能顺序	技能顺序间隔
114007	114007	140	50	11	11		14	0	3000	1	3000	1002																		
114008	114008	140	50	11	11		14	0	3000	1	3000	1002																		
114009	114009	140	50	11	11		14	0	3000	1	3000	1002																		
114010	114010	140	50	11	11		14	0	3000	1	3000	1002																		
115001	115001	150	50	11	11		15	0	3000	1	3000	1002																		
115002	115002	150	50	11	11		15	0	3000	1	3000	1002																		
115003	115003	150	50	11	11		15	0	3000	1	3000	1002																		
115004	115004	150	50	11	11		15	0	3000	1	3000	1002																		
115005	115005	150	50	11	11		15	0	3000	1	3000	1002																		
115006	115006	150	50	11	11		15	0	3000	1	3000	1002																		
115007	115007	150	50	11	11		15	0	3000	1	3000	1002																		
115008	115008	150	50	11	11		15	0	3000	1	3000	1002																		
115009	115009	150	50	11	11		15	0	3000	1	3000	1002																		
115010	115010	150	50	11	11		15	0	3000	1	3000	1002																		
102101	2001	20	50	11	11		1	0	3000	1	3000	1002																		
102102	2002	20	50	11	11		1	0	3000	1	3000	1002																		
102103	2003	20	50	11	11		1	0	3000	1	3000	1002																		
102104	2004	20	50	11	11		1	0	3000	1	3000	1002																		
102105	2005	20	50	11	11		1	0	3000	1	3000	1002																		
102106	2006	20	50	11	11		1	0	3000	1	3000	1002																		
102107	2007	20	50	11	11		1	0	3000	1	3000	1002																		
102108	2008	20	50	11	11		1	0	3000	1	3000	1002																		
102109	2009	20	50	11	11		1	0	3000	1	3000	1002																		
102110	2010	20	50	11	11		1	0	3000	1	3000	1002																		
103101	3001	30	50	11	11		1	0	3000	1	3000	1002																		
103102	3002	30	50	11	11		1	0	3000	1	3000	1002																		
103103	3003	30	50	11	11		1	0	3000	1	3000	1002																		
103104	3004	30	50	11	11		1	0	3000	1	3000	1002																		
103105	3005	30	50	11	11		1	0	3000	1	3000	1002																		
103106	3006	30	50	11	11		1	0	3000	1	3000	1002																		
103107	3007	30	50	11	11		1	0	3000	1	3000	1002																		
103108	3008	30	50	11	11		1	0	3000	1	3000	1002																		
103109	3009	30	50	11	11		1	0	3000	1	3000	1002																		
103110	3010	30	50	11	11		1	0	3000	1	3000	1002																		
104101	4001	40	50	11	11		1	0	3000	1	3000	1002																		
104102		40	50	11	11		1	0	3000	1	3000	1002																		
104103		40	50	11	11		1	0	3000	1	3000	1002																		
104104		40	50	11	11		1	0	3000	1	3000	1002																		
104105		40	50	11	11		1	0	3000	1	3000	1002																		
104106		40	50	11	11		1	0	3000	1	3000	1002																		
104107		40	50	11	11		1	0	3000	1	3000	1002																		
104108		40	50	11	11		1	0	3000	1	3000	1002																		
104109		40	50	11	11		1	0	3000	1	3000	1002																		
104110		40	50	11	11		1	0	3000	1	3000	1002																		
105101		50	50	11	11		2	0	3000	1	3000	1002																		
105102		50	50	11	11		2	0	3000	1	3000	1002																		
105103		50	50	11	11		2	0	3000	1	3000	1002																		
105104		50	50	11	11		2	0	3000	1	3000	1002																		
105105		50	50	11	11		2	0	3000	1	3000	1002																		
105106		50	50	11	11		2	0	3000	1	3000	1002																		
105107		50	50	11	11		2	0	3000	1	3000	1002																		
105108		50	50	11	11		2	0	3000	1	3000	1002																		
105109		50	50	11	11		2	0	3000	1	3000	1002																		
105110		50	50	11	11		2	0	3000	1	3000	1002																		
106101		60	50	11	11		3	0	3000	1	3000	1002																		
106102		60	50	11	11		3	0	3000	1	3000	1002																		
106103		60	50	11	11		3	0	3000	1	3000	1002																		
106104		60	50	11	11		3	0	3000	1	3000	1002																		
106105		60	50	11	11		3	0	3000	1	3000	1002																		
106106		60	50	11	11		3	0	3000	1	3000	1002																		
106107		60	50	11	11		3	0	3000	1	3000	1002																		
106108		60	50	11	11		3	0	3000	1	3000	1002																		
106109		60	50	11	11		3	0	3000	1	3000	1002																		
106110		60	50	11	11		3	0	3000	1	3000	1002																		
107101		70	50	11	11		4	0	3000	1	3000	1002																		
107102		70	50	11	11		4	0	3000	1	3000	1002																		
107103		70	50	11	11		4	0	3000	1	3000	1002																		
107104		70	50	11	11		4	0	3000	1	3000	1002																		
107105		70	50	11	11		4	0	3000	1	3000	1002																		
107106		70	50	11	11		4	0	3000	1	3000	1002																		
107107		70	50	11	11		4	0	3000	1	3000	1002																		
107108		70	50	11	11		4	0	3000	1	3000	1002																		
107109		70	50	11	11		4	0	3000	1	3000	1002																		
107110		70	50	11	11		4	0	3000	1	3000	1002																		
108101		80	50	11	11		5	0	3000	1	3000	1002																		
108102		80	50	11	11		5	0	3000	1	3000	1002																		
108103		80	50	11	11		5	0	3000	1	3000	1002																		
108104		80	50	11	11		5	0	3000	1	3000	1002																		
108105		80	50	11	11		5	0	3000	1	3000	1002																		
108106		80	50	11	11		5	0	3000	1	3000	1002																		
108107		80	50	11	11		5	0	3000	1	3000	1002																		
108108		80	50	11	11		5	0	3000	1	3000	1002																		
108109		80	50	11	11		5	0	3000	1	3000	1002																		
108110		80	50	11	11		5	0	3000	1	3000	1002																		
109101		90	50	11	11		6	0	3000	1	3000	1002																		
109102		90	50	11	11		6	0	3000	1	3000	1002																		
109103		90	50	11	11		6	0	3000	1	3000	1002																		
109104		90	50	11	11		6	0	3000	1	3000	1002																		
109105		90	50	11	11		6	0	3000	1	3000	1002																		
109106		90	50	11	11		6	0	3000	1	3000	1002																		
109107		90	50	11	11		6	0	3000	1	3000	1002																		
109108		90	50	11	11		6	0	3000	1	3000	1002																		
109109		90	50	11	11		6	0	3000	1	3000	1002																		
109110		90	50	11	11		6	0	3000	1	3000	1002																		
110101		100	50	11	11		7	0	3000	1	3000	1002																		
110102		100	50	11	11		7	0	3000	1	3000	1002																		
110103		100	50	11	11		7	0	3000	1	3000	1002																		
110104		100	50	11	11		7	0	3000	1	3000	1002																		
110105		100	50	11	11		7	0	3000	1	3000	1002																		
110106		100	50	11	11		7	0	3000	1	3000	1002																		
110107		100	50	11	11		7	0	3000	1	3000	1002																		
110108		100	50	11	11		7	0	3000	1	3000	1002																		
110109		100	50	11	11		7	0	3000	1	3000	1002																		
110110		100	50	11	11		7	0	3000	1	3000	1002																		
111101		110	50	11	11		8	0	3000	1	3000	1002																		
111102		110	50	11	11		8	0	3000	1	3000	1002																		
111103		110	50	11	11		8	0	3000	1	3000	1002																		
111104		110	50	11	11		8	0	3000	1	3000	1002																		
111105		110	50	11	11		8	0	3000	1	3000	1002																		
111106		110	50	11	11		8	0	3000	1	3000	1002																		
111107		110	50	11	11		8	0	3000	1	3000	1002																		
111108		110	50	11	11		8	0	3000	1	3000	1002																		
111109		110	50	11	11		8	0	3000	1	3000	1002																		
111110		110	50	11	11		8	0	3000	1	3000	1002																		
112101		120	50	11	11		9	0	3000	1	3000	1002																		
112102		120	50	11	11		9	0	3000	1	3000	1002																		
112103		120	50	11	11		9	0	3000	1	3000	1002																		
112104		120	50	11	11		9	0	3000	1	3000	1002																		
112105		120	50	11	11		9	0	3000	1	3000	1002																		
112106		120	50	11	11		9	0	3000	1	3000	1002																		
112107		120	50	11	11		9	0	3000	1	3000	1002																		
112108		120	50	11	11		9	0	3000	1	3000	1002																		
112109		120	50	11	11		9	0	3000	1	3000	1002																		
112110		120	50	11	11		9	0	3000	1	3000	1002																		
113101		130	50	11	11		10	0	3000	1	3000	1002																		
113102		130	50	11	11		10	0	3000	1	3000	1002																		
113103		130	50	11	11		10	0	3000	1	3000	1002																		
113104		130	50	11	11		10	0	3000	1	3000	1002																		
113105		130	50	11	11		10	0	3000	1	3000	1002																		
113106		130	50	11	11		10	0	3000	1	3000	1002																		
113107		130	50	11	11		10	0	3000	1	3000	1002																		
113108		130	50	11	11		10	0	3000	1	3000	1002																		
113109		130	50	11	11		10	0	3000	1	3000	1002																		
113110		130	50	11	11		10	0	3000	1	3000	1002																		
114101		140	50	11	11		11	0	3000	1	3000	1002																		
114102		140	50	11	11		11	0	3000	1	3000	1002																		
114103		140	50	11	11		11	0	3000	1	3000	1002																		
114104		140	50	11	11		11	0	3000	1	3000	1002																		
114105		140	50	11	11		11	0	3000	1	3000	1002																		
114106		140	50	11	11		11	0	3000	1	3000	1002																		
114107		140	50	11	11		11	0	3000	1	3000	1002																		
114108		140	50	11	11		11	0	3000	1	3000	1002																		
114109		140	50	11	11		11	0	3000	1	3000	1002																		
114110		140	50	11	11		11	0	3000	1	3000	1002																		
115101		150	50	11	11		12	0	3000	1	3000	1002																		
115102		150	50	11	11		12	0	3000	1	3000	1002																		
115103		150	50	11	11		12	0	3000	1	3000	1002																		
115104		150	50	11	11		12	0	3000	1	3000	1002																		
115105		150	50	11	11		12	0	3000	1	3000	1002																		
115106		150	50	11	11		12	0	3000	1	3000	1002																		
115107		150	50	11	11		12	0	3000	1	3000	1002																		
115108		150	50	11	11		12	0	3000	1	3000	1002																		
115109		150	50	11	11		12	0	3000	1	3000	1002																		
115110		150	50	11	11		12	0	3000	1	3000	1002																		
