id	NAME	代号	desc	代号	所属地图	颜色	icon	属性1	数值1	属性2	数值2	属性3	数值3	属性4	数值4	获得途径	声望1	声望2
14002	维达靴子	t_artifact_name_14002	皮革匠们用皮革制作的一双防火的靴子	t_artifact_desc_14002	14	2	14002	1	1	1	1	1	1	1	1	4	20	20
14003	芬里尔獠牙	t_artifact_name_14003	没有什么东西是它无法咬断的	t_artifact_desc_14003	14	2	14003	1	1	1	1	1	1	1	1	4	20	20
14004	狄俄尼索斯的酒	t_artifact_name_14004	具有神奇力量的酒	t_artifact_desc_14004	14	2	14004	1	1	1	1	1	1	1	1	4	20	20
14005	女神的召唤	t_artifact_name_14005	曾经女神对于有功者的奖励	t_artifact_desc_14005	14	2	14005	1	1	1	1	1	1	1	1	4	20	20
14006	沙玛什断头斧	t_artifact_name_14006	任何违反规则的都会被这把斧头惩罚	t_artifact_desc_14006	14	2	14006	1	1	1	1	1	1	1	1	4	20	20
14007	侏儒的铁锤	t_artifact_name_14007	作为锻造一族的侏儒的铁锤	t_artifact_desc_14007	14	2	14007	1	1	1	1	1	1	1	1	4	20	20
14008	细针	t_artifact_name_14008	据传曾用来缝过神的嘴	t_artifact_desc_14008	14	2	14008	1	1	1	1	1	1	1	1	4	20	20
14009	芙蕾雅的眼泪	t_artifact_name_14009	滴在泥中，深入地下即可化为金沙	t_artifact_desc_14009	14	3	14009	1	1	1	1	1	1	1	1	4	20	20
14010	狩猎女神猎靴	t_artifact_name_14010	需要很多人才能保养好的一把珍贵的靴子	t_artifact_desc_14010	14	3	14010	1	1	1	1	1	1	1	1	4	20	20
14101	荷鲁斯之眼	t_artifact_name_14101	代表着神明的庇佑与至高无上的君权	t_artifact_desc_14101	14	3	14101	1	1	1	1	1	1	1	1	4	20	20
14102	米诺斯金斧	t_artifact_name_14102	米诺斯的权利不容质疑	t_artifact_desc_14102	14	3	14102	1	1	1	1	1	1	1	1	4	20	20
14103	龙神吊坠	t_artifact_name_14103	龙神的逆鳞打造的吊坠	t_artifact_desc_14103	14	4	14103	1	1	1	1	1	1	1	1	4	40	40
14104	知识神之书	t_artifact_name_14104	至今没人看到这本知识神编撰的书	t_artifact_desc_14104	14	4	14104	1	1	1	1	1	1	1	1	4	40	40
14105	世界树枝	t_artifact_name_14105	世界树的枝叶，很多神器都是它打造的	t_artifact_desc_14105	14	5	14105	1	1	1	1	1	1	1	1	4	80	80
15001	暗黑预言蛋	t_artifact_name_15001	据说里面是代表黑暗的神	t_artifact_desc_15001	15	2	15001	1	1	1	1	1	1	1	1	4	20	20
15002	刺针	t_artifact_name_15002	一叶状匕首，剑鞘由褐色的丝绒及黑铁组成	t_artifact_desc_15002	15	2	15002	1	1	1	1	1	1	1	1	4	20	20
15003	鹰之勋章	t_artifact_name_15003	配戴这个勋章，就可以变身为鹰	t_artifact_desc_15003	15	2	15003	1	1	1	1	1	1	1	1	4	20	20
15004	火炬之光	t_artifact_name_15004	人类文明的起点	t_artifact_desc_15004	15	2	15004	1	1	1	1	1	1	1	1	4	20	20
15005	战女神戒指	t_artifact_name_15005	战女神为其追随者设计的戒指	t_artifact_desc_15005	15	2	15005	1	1	1	1	1	1	1	1	4	20	20
15006	索菲亚天秤	t_artifact_name_15006	测量平衡的天秤	t_artifact_desc_15006	15	2	15006	1	1	1	1	1	1	1	1	4	20	20
15007	金盾铠甲	t_artifact_name_15007	历代英灵所穿戴的铠甲	t_artifact_desc_15007	15	2	15007	1	1	1	1	1	1	1	1	4	20	20
15008	风之力	t_artifact_name_15008	迎风拂拥者生，逆风拮抗者亡	t_artifact_desc_15008	15	2	15008	1	1	1	1	1	1	1	1	4	20	20
15009	生命之符	t_artifact_name_15009	诞生生命最初能量的护符	t_artifact_desc_15009	15	3	15009	1	1	1	1	1	1	1	1	4	20	20
15010	瓦雷利亚耳坠	t_artifact_name_15010	远古的都市瓦雷利亚的高精准耳坠	t_artifact_desc_15010	15	3	15010	1	1	1	1	1	1	1	1	4	20	20
15101	金羊毛	t_artifact_name_15101	象征着冒险和不屈不挠的意志，理想和对幸福的追求	t_artifact_desc_15101	15	3	15101	1	1	1	1	1	1	1	1	4	20	20
15102	潘多拉魔盒	t_artifact_name_15102	包含世间的所有邪恶	t_artifact_desc_15102	15	3	15102	1	1	1	1	1	1	1	1	4	20	20
15103	克洛诺斯镰刀	t_artifact_name_15103	曾对神王造成巨大的伤害	t_artifact_desc_15103	15	4	15103	1	1	1	1	1	1	1	1	4	40	40
15104	黄金苹果	t_artifact_name_15104	尝一口便可以返老还童	t_artifact_desc_15104	15	4	15104	1	1	1	1	1	1	1	1	4	40	40
15105	至高王座	t_artifact_name_15105	坐在宝座上可以看到整个世界	t_artifact_desc_15105	15	5	15105	1	1	1	1	1	1	1	1	4	80	80
