起点	标题	标题	对话	对话	选项1	选项1	选项1执行type	选项1执行参数	选项1执行参数	选项2	选项2	选项2执行type	选项2执行参数	选项2执行参数	选项3	选项3	选项3执行type	选项3执行参数	选项3执行参数	选项4	选项4	选项4	选项4执行type	选项4执行参数	对话头像id
20303201	机智的商人：卡隆	t_director_title_20303201	哇，你真的在里面获得了神器卷轴啊，我还以为是祖上记载错误了呢	t_director_dialog_20303201		t_director_option0_20303201	0	20303202			t_director_option1_20303201					t_director_option2_20303201					t_director_option3_20303201				3002
20303202	机智的商人：卡隆	t_director_title_20303202	啊，太恭喜你了，你一定要给你一个大大的红包	t_director_dialog_20303202		t_director_option0_20303202	0	20303203			t_director_option1_20303202					t_director_option2_20303202					t_director_option3_20303202				3002
20303203	机智的商人：卡隆	t_director_title_20303203	我这就把你的消息公布于众，这样我的神器卷轴就有销路，太感谢你了	t_director_dialog_20303203	不客气	t_director_option0_20303203	1				t_director_option1_20303203					t_director_option2_20303203					t_director_option3_20303203				3000
20401100	铁匠:卡普	t_director_title_20401100	哈哈，又见面了，{P}，我正需要你的帮助呢	t_director_dialog_20401100		t_director_option0_20401100	0	20401101			t_director_option1_20401100					t_director_option2_20401100					t_director_option3_20401100				3000
20401101	铁匠:卡普	t_director_title_20401101	之前告诉你的强化装备的各种方法很有用吧，这次我又发现了一种宝石，这种宝石镶嵌在武器上就可以为武器带来各种各样的增幅	t_director_dialog_20401101		t_director_option0_20401101	0	20401102			t_director_option1_20401101					t_director_option2_20401101					t_director_option3_20401101				3000
20401102	铁匠:卡普	t_director_title_20401102	效果明显，流程简单，我正在研究这种宝石所含有的能量，需要一种叫魔能矿的辅助材料，据说以前在王国旧址那里会有	t_director_dialog_20401102		t_director_option0_20401102	0	20401103			t_director_option1_20401102					t_director_option2_20401102					t_director_option3_20401102				3000
20401103	铁匠:卡普	t_director_title_20401103	所以，想请你帮我在<color=#fdc83a>王国废墟</color>获得一些魔能矿，我就把这种镶嵌宝石的方法告诉你	t_director_dialog_20401103	我还有事	t_director_option0_20401103	2			好的	t_director_option1_20401103	1				t_director_option2_20401103					t_director_option3_20401103				3000
20401200	铁匠:卡普	t_director_title_20401200	你收集够魔能矿了吗	t_director_dialog_20401200	我去收集	t_director_option0_20401200	2			交纳魔晶石	t_director_option1_20401200	6	20401201			t_director_option2_20401200					t_director_option3_20401200				3000
20401201	铁匠:卡普	t_director_title_20401201	找你果然是最成功的选择，我这就为你讲解镶嵌的操作流程	t_director_dialog_20401201		t_director_option0_20401201	0	20401202			t_director_option1_20401201					t_director_option2_20401201					t_director_option3_20401201				3000
20401202	铁匠:卡普	t_director_title_20401202	你可以在装备界面上的<color=#fdc83a>培养</color>里，对装备进行镶嵌，你想为他镶嵌那种属性就为他镶嵌相应的宝石	t_director_dialog_20401202		t_director_option0_20401202	0	20401203			t_director_option1_20401202					t_director_option2_20401202					t_director_option3_20401202				3000
20401203	铁匠:卡普	t_director_title_20401203	宝石还可以由低到高进行合成升级，有多余的别忘了进行升级啊，我就先走了，你可以镶嵌一下试一试	t_director_dialog_20401203	好的	t_director_option0_20401203	1				t_director_option1_20401203					t_director_option2_20401203					t_director_option3_20401203				4001
20402100	竞技场管理员:赛琳娜	t_director_title_20402100	啊，是{P}，太好了，我们正满城找你呢	t_director_dialog_20402100		t_director_option0_20402100	0	20402101			t_director_option1_20402100					t_director_option2_20402100					t_director_option3_20402100				4001
20402101	竞技场管理员:赛琳娜	t_director_title_20402101	我是竞技场的管理员，我们开设了激烈无比的竞技比赛给冒险者参加，你现在可是最火热的人选	t_director_dialog_20402101		t_director_option0_20402101	0	20402102			t_director_option1_20402101					t_director_option2_20402101					t_director_option3_20402101				4001
20402102	竞技场管理员:赛琳娜	t_director_title_20402102	不用这样看着我，竞技场可是很棒的，可以通过与其他冒险者战斗，来获得各种丰厚的奖励	t_director_dialog_20402102		t_director_option0_20402102	0	20402103			t_director_option1_20402102					t_director_option2_20402102					t_director_option3_20402102				4001
20402103	竞技场管理员:赛琳娜	t_director_title_20402103	战斗代表着荣誉，我们的比赛场地在<color=#fdc83a>竞技场</color>的建筑里，一定要来啊，我们等着你	t_director_dialog_20402103	好的	t_director_option0_20402103	1				t_director_option1_20402103					t_director_option2_20402103					t_director_option3_20402103				4001
20402200	竞技场管理员:赛琳娜	t_director_title_20402200	你能来参加真是太棒了，感谢你为我们带来的这场精彩绝伦的战斗	t_director_dialog_20402200		t_director_option0_20402200	0	20402201			t_director_option1_20402200					t_director_option2_20402200					t_director_option3_20402200				4001
20402201	竞技场管理员:赛琳娜	t_director_title_20402201	每个冒险者第一次参加竞技场我们都会发放丰厚的奖励，我同样会把属于你的奖励发放给你	t_director_dialog_20402201		t_director_option0_20402201	0	20402202			t_director_option1_20402201					t_director_option2_20402201					t_director_option3_20402201				4001
20402202	竞技场管理员:赛琳娜	t_director_title_20402202	以后每天都可以来呦，我们每天会根据你战斗胜利的排名给与你每日奖励	t_director_dialog_20402202		t_director_option0_20402202	0	20402203			t_director_option1_20402202					t_director_option2_20402202					t_director_option3_20402202				4001
20402203	竞技场管理员:赛琳娜	t_director_title_20402203	每七天我们也会统计冒险者的段位，给与奖励，怎么样，奖励很丰厚吧，明天可不要忘了呦	t_director_dialog_20402203	好的	t_director_option0_20402203	1				t_director_option1_20402203					t_director_option2_20402203					t_director_option3_20402203				3
30100000	任务管理员:伊迪丝	t_director_title_30100000	公会新发布了一些任务，你要不要领取，{P}	t_director_dialog_30100000	拒绝	t_director_option0_30100000	2			好的	t_director_option1_30100000	1				t_director_option2_30100000					t_director_option3_30100000				3
30100100	任务管理员:伊迪丝	t_director_title_30100100	恭喜你完成了任务，请查看你的奖励	t_director_dialog_30100100	好的	t_director_option0_30100100	1				t_director_option1_30100100					t_director_option2_30100100					t_director_option3_30100100				#REF!
30300100	任务管理员:伊迪丝	t_director_title_30300100	沃野沼泽的<color=#fdc83a>蜥蜴</color>有很大可能产生智慧，进化成蜥蜴人，为了防止他们更强大，请你去讨伐了他们吧	t_director_dialog_30300100	我还有事	t_director_option0_30300100	2			好的	t_director_option1_30300100	1				t_director_option2_30300100					t_director_option3_30300100				3
30300200	任务管理员:伊迪丝	t_director_title_30300200	鳄鱼是鳄鱼人的后代，希望你能讨伐一些<color=#fdc83a>鳄鱼</color>，防止他们突然变异成为强大的鳄鱼人	t_director_dialog_30300200	我还有事	t_director_option0_30300200	2			好的	t_director_option1_30300200	1				t_director_option2_30300200					t_director_option3_30300200				3
30300300	任务管理员:伊迪丝	t_director_title_30300300	<color=#fdc83a>蜘蛛</color>总是躲在暗处捕食，为了防止更多的冒险者被伤，请你讨伐点他们	t_director_dialog_30300300	我还有事	t_director_option0_30300300	2			好的	t_director_option1_30300300	1				t_director_option2_30300300					t_director_option3_30300300				3
30300400	任务管理员:伊迪丝	t_director_title_30300400	<color=#fdc83a>囊蛛</color>即将产卵，这时候很是凶残，肆意进攻他们看到的生物，你能讨伐了他们吗	t_director_dialog_30300400	我还有事	t_director_option0_30300400	2			好的	t_director_option1_30300400	1				t_director_option2_30300400					t_director_option3_30300400				3
30300500	任务管理员:伊迪丝	t_director_title_30300500	总追寻着至高力量的<color=#fdc83a>蜥蜴族剑士</color>，肆意的伤害着周围的一切，希望你能讨伐了他们，为周围带来和平	t_director_dialog_30300500	我还有事	t_director_option0_30300500	2			好的	t_director_option1_30300500	1				t_director_option2_30300500					t_director_option3_30300500				3
30300600	任务管理员:伊迪丝	t_director_title_30300600	<color=#fdc83a>蜥蜴族巫师</color>拥有他们一族的一种诅咒魔法，被他们击中的人还会传染给别人已经有人中招了，可以的话请你讨伐掉他们	t_director_dialog_30300600	我还有事	t_director_option0_30300600	2			好的	t_director_option1_30300600	1				t_director_option2_30300600					t_director_option3_30300600				3
30300700	任务管理员:伊迪丝	t_director_title_30300700	<color=#fdc83a>大嘴怪</color>是被蜥蜴人族招募的打手，他有很强的实力，请小心，他的任务就是保护这里	t_director_dialog_30300700	我还有事	t_director_option0_30300700	2			好的	t_director_option1_30300700	1				t_director_option2_30300700					t_director_option3_30300700				3
30300800	任务管理员:伊迪丝	t_director_title_30300800	沃野沼泽里，一些<color=#fdc83a>蜥蜴族刺客</color>总是隐藏在暗处肆虐，请你遇到他们讨伐掉他们	t_director_dialog_30300800	我还有事	t_director_option0_30300800	2			好的	t_director_option1_30300800	1				t_director_option2_30300800					t_director_option3_30300800				3
30300900	任务管理员:伊迪丝	t_director_title_30300900	<color=#fdc83a>蜥蜴族先知</color>出现了，他们击杀了很多冒险者，请你找到他们，讨伐了他们	t_director_dialog_30300900	我还有事	t_director_option0_30300900	2			好的	t_director_option1_30300900	1				t_director_option2_30300900					t_director_option3_30300900				3
30301000	任务管理员:伊迪丝	t_director_title_30301000	<color=#fdc83a>鳄鱼人</color>是蜥蜴族隐藏起来的最强战力，请你找到他，消灭他	t_director_dialog_30301000	我还有事	t_director_option0_30301000	2			好的	t_director_option1_30301000	1				t_director_option2_30301000					t_director_option3_30301000				3
40101001	鹿	t_director_title_40101001	为我的族人报仇	t_director_dialog_40101001	逃离	t_director_option0_40101001	2			战斗	t_director_option1_40101001	1				t_director_option2_40101001					t_director_option3_40101001				
40101002	螃蟹	t_director_title_40101002	塞壬大人在海底深处等着我呢，别挡道	t_director_dialog_40101002	逃离	t_director_option0_40101002	2			战斗	t_director_option1_40101002	1				t_director_option2_40101002					t_director_option3_40101002				
40101003	巫婆	t_director_title_40101003	我是把你变成乌鸦，还是青蛙好呢	t_director_dialog_40101003	逃离	t_director_option0_40101003	2			战斗	t_director_option1_40101003	1				t_director_option2_40101003					t_director_option3_40101003				
40101004	渔夫	t_director_title_40101004	跟随塞壬大人的脚步，随我去大海深处吧	t_director_dialog_40101004	逃离	t_director_option0_40101004	2			战斗	t_director_option1_40101004	1				t_director_option2_40101004					t_director_option3_40101004				
40101005	哥布林战士	t_director_title_40101005	比咯比咯！（俺要吃了你）	t_director_dialog_40101005	逃离	t_director_option0_40101005	2			战斗	t_director_option1_40101005	1				t_director_option2_40101005					t_director_option3_40101005				
40101006	哥布林法师	t_director_title_40101006	比咯比！（先知保佑，诅咒你）	t_director_dialog_40101006	逃离	t_director_option0_40101006	2			战斗	t_director_option1_40101006	1				t_director_option2_40101006					t_director_option3_40101006				
40101007	熊	t_director_title_40101007	嗷唔！嗷唔！嗷唔！！（要战斗吗？战斗吗？战斗吗？）	t_director_dialog_40101007	撤退	t_director_option0_40101007	2			是	t_director_option1_40101007	1				t_director_option2_40101007					t_director_option3_40101007				
40101008	盗贼	t_director_title_40101008	很荣幸见到你，偷偷的告诉你，你死到临头了	t_director_dialog_40101008	逃离	t_director_option0_40101008	2			战斗	t_director_option1_40101008	1				t_director_option2_40101008					t_director_option3_40101008				
40101009	哥布林狂战士	t_director_title_40101009	比咯比咯比咯比！（你要俺战斗吗？人类）	t_director_dialog_40101009	不是	t_director_option0_40101009	2			是	t_director_option1_40101009	1				t_director_option2_40101009					t_director_option3_40101009				
40101010	哥布林先知	t_director_title_40101010	比咯比咯比！（人类，你是来和我战斗的？）	t_director_dialog_40101010	不是	t_director_option0_40101010	2			是	t_director_option1_40101010	1				t_director_option2_40101010					t_director_option3_40101010				
40201001	史莱姆	t_director_title_40201001	咕噜（有没有那种任何种族都能在一起玩耍的国度啊）	t_director_dialog_40201001	逃离	t_director_option0_40201001	2			战斗	t_director_option1_40201001	1				t_director_option2_40201001					t_director_option3_40201001				
40201002	多翼虫	t_director_title_40201002	吱吱，吱吱（你身上的血一定很好喝）	t_director_dialog_40201002	逃离	t_director_option0_40201002	2			战斗	t_director_option1_40201002	1				t_director_option2_40201002					t_director_option3_40201002				
40201003	蜘蛛	t_director_title_40201003	咝咝，咝咝（如果有的选择，我也会做一个蜘蛛侠）	t_director_dialog_40201003	逃离	t_director_option0_40201003	2			战斗	t_director_option1_40201003	1				t_director_option2_40201003					t_director_option3_40201003				
40201004	食人花	t_director_title_40201004	吱吱，吱吱(我本想与人无争，奈何我得吃饭呀)	t_director_dialog_40201004	逃离	t_director_option0_40201004	2			战斗	t_director_option1_40201004	1				t_director_option2_40201004					t_director_option3_40201004				
40201005	鬼哭树怪	t_director_title_40201005	呜呜，呜呜（我只是一棵树，一颗树）	t_director_dialog_40201005	逃离	t_director_option0_40201005	2			战斗	t_director_option1_40201005	1				t_director_option2_40201005					t_director_option3_40201005				
40201006	翠金雀	t_director_title_40201006	叽叽叽（好像尝一尝你的味道）	t_director_dialog_40201006	逃离	t_director_option0_40201006	2			战斗	t_director_option1_40201006	1				t_director_option2_40201006					t_director_option3_40201006				
40201007	幽灵蝎	t_director_title_40201007	咝咝，咝咝（一会儿去和蛇精约会，别打扰我）	t_director_dialog_40201007	离开	t_director_option0_40201007	2			战斗	t_director_option1_40201007	1				t_director_option2_40201007					t_director_option3_40201007				
40201008	多彩鸟	t_director_title_40201008	啁啾，啁啾（吃了你）	t_director_dialog_40201008	逃离	t_director_option0_40201008	2			战斗	t_director_option1_40201008	1				t_director_option2_40201008					t_director_option3_40201008				
40201009	食人花怪	t_director_title_40201009	吱吱，吱吱（这是我的地盘，谁也不能过）	t_director_dialog_40201009	逃离	t_director_option0_40201009	2			战斗	t_director_option1_40201009	1				t_director_option2_40201009					t_director_option3_40201009				
40201010	翠金螳螂	t_director_title_40201010	吱吱（我的螳螂拳最厉害）	t_director_dialog_40201010	逃离	t_director_option0_40201010	2			战斗	t_director_option1_40201010	1				t_director_option2_40201010					t_director_option3_40201010				
40301001	蜥蜴	t_director_title_40301001	呲呲（都是蜥蜴，我为什么不能成蜥蜴人）	t_director_dialog_40301001	逃离	t_director_option0_40301001	2			战斗	t_director_option1_40301001	1				t_director_option2_40301001					t_director_option3_40301001				
40301002	鳄鱼	t_director_title_40301002	呼噜呼噜（我的爷爷成为了最强大的鳄鱼人）	t_director_dialog_40301002	逃离	t_director_option0_40301002	2			战斗	t_director_option1_40301002	1				t_director_option2_40301002					t_director_option3_40301002				
40301003	蜘蛛	t_director_title_40301003	咝咝，咝咝（蜘蛛侠来了）	t_director_dialog_40301003	逃离	t_director_option0_40301003	2			战斗	t_director_option1_40301003	1				t_director_option2_40301003					t_director_option3_40301003				
40301004	囊蛛	t_director_title_40301004	咝咝，咝咝（等我产出一整个森林的小蜘蛛）	t_director_dialog_40301004	逃离	t_director_option0_40301004	2			战斗	t_director_option1_40301004	1				t_director_option2_40301004					t_director_option3_40301004				
40301005	蜥蜴族剑士	t_director_title_40301005	剑随风而动	t_director_dialog_40301005	逃离	t_director_option0_40301005	2			战斗	t_director_option1_40301005	1				t_director_option2_40301005					t_director_option3_40301005				
40301006	蜥蜴族巫师	t_director_title_40301006	魔法的力量足以摧毁一切来犯的敌人	t_director_dialog_40301006	逃离	t_director_option0_40301006	2			战斗	t_director_option1_40301006	1				t_director_option2_40301006					t_director_option3_40301006				
40301007	大嘴怪	t_director_title_40301007	咕噜噜（我可以吃了你吗）	t_director_dialog_40301007	逃离	t_director_option0_40301007	2			战斗	t_director_option1_40301007	1				t_director_option2_40301007					t_director_option3_40301007				
40301008	蜥蜴族刺客	t_director_title_40301008	我本应行走于黑暗中，杀你，只需要一击	t_director_dialog_40301008	逃离	t_director_option0_40301008	2			战斗	t_director_option1_40301008	1				t_director_option2_40301008					t_director_option3_40301008				
40301009	蜥蜴族先知	t_director_title_40301009	蜥蜴族的未来是繁荣昌盛的，只要没有那个意外的人	t_director_dialog_40301009	逃离	t_director_option0_40301009	2			战斗	t_director_option1_40301009	1				t_director_option2_40301009					t_director_option3_40301009				
40301010	鳄鱼人	t_director_title_40301010	是你杀了我的后代	t_director_dialog_40301010	逃离	t_director_option0_40301010	2			战斗	t_director_option1_40301010	1				t_director_option2_40301010					t_director_option3_40301010				
50000001	缇娜	t_director_title_50000001	永远不要勉强自己啊！	t_director_dialog_50000001	我知道了	t_director_option0_50000001	2				t_director_option1_50000001					t_director_option2_50000001					t_director_option3_50000001				2
50000002	雪莱	t_director_title_50000002	欢迎来到刷子公会	t_director_dialog_50000002	嗯	t_director_option0_50000002	2				t_director_option1_50000002					t_director_option2_50000002					t_director_option3_50000002				1
50000003	伊迪丝	t_director_title_50000003	继续去冒险吧！{P}	t_director_dialog_50000003	好的	t_director_option0_50000003	2				t_director_option1_50000003					t_director_option2_50000003					t_director_option3_50000003				3
50000004	杂货店老板:泰勒	t_director_title_50000004	我一定要开一个最强，最好的杂货店	t_director_dialog_50000004	会的	t_director_option0_50000004	2				t_director_option1_50000004					t_director_option2_50000004					t_director_option3_50000004				4
50011000	铁匠:卡普	t_director_title_50011000	我是最强的铁匠	t_director_dialog_50011000	我去找到它	t_director_option0_50011000	2				t_director_option1_50011000					t_director_option2_50011000					t_director_option3_50011000				1000
50011001	帕莎	t_director_title_50011001	城外还真是危险	t_director_dialog_50011001	…	t_director_option0_50011001	2				t_director_option1_50011001					t_director_option2_50011001					t_director_option3_50011001				1001
50002001	小花妖	t_director_title_50002001	好想快点去外面走走啊	t_director_dialog_50002001	加油	t_director_option0_50002001	2				t_director_option1_50002001					t_director_option2_50002001					t_director_option3_50002001				2001
50002002	铁匠:卡普	t_director_title_50002002	怎么才能让装备更强呢	t_director_dialog_50002002	…	t_director_option0_50002002	2				t_director_option1_50002002					t_director_option2_50002002					t_director_option3_50002002				1000
50003001	龙之塔管理员:安吉拉	t_director_title_50003001	只要宠物能平安无事就好了	t_director_dialog_50003001	…	t_director_option0_50003001	2				t_director_option1_50003001					t_director_option2_50003001					t_director_option3_50003001				3001
50003002	机智的商人:卡隆	t_director_title_50003002	神器副本卷轴都卖不出去啦	t_director_dialog_50003002	…	t_director_option0_50003002	2				t_director_option1_50003002					t_director_option2_50003002					t_director_option3_50003002				3002
50004001	竞技场管理员:赛琳娜	t_director_title_50004001	只有在竞技场里取得胜利，才是彰显勇武的表现	t_director_dialog_50004001	…	t_director_option0_50004001	2				t_director_option1_50004001					t_director_option2_50004001					t_director_option3_50004001				4001
60110101	怪物	t_director_title_60110101	你的气味...杀死你…	t_director_dialog_60110101	查看奖励	t_director_option0_60110101	3			离开	t_director_option1_60110101	4			战斗	t_director_option2_60110101	1				t_director_option3_60110101				
60110102	怪物	t_director_title_60110102	你想要....伤害我吗？	t_director_dialog_60110102	查看奖励	t_director_option0_60110102	3			离开	t_director_option1_60110102	4			战斗	t_director_option2_60110102	1				t_director_option3_60110102				
60110103	怪物	t_director_title_60110103	我杀了你！	t_director_dialog_60110103	查看奖励	t_director_option0_60110103	3			离开	t_director_option1_60110103	4			战斗	t_director_option2_60110103	1				t_director_option3_60110103				
60110104	怪物	t_director_title_60110104	不要靠近！	t_director_dialog_60110104	查看奖励	t_director_option0_60110104	3			离开	t_director_option1_60110104	4			战斗	t_director_option2_60110104	1				t_director_option3_60110104				
60110105	怪物	t_director_title_60110105	看着你丑陋的样子，我就决定杀了你！	t_director_dialog_60110105	查看奖励	t_director_option0_60110105	3			离开	t_director_option1_60110105	4			战斗	t_director_option2_60110105	1				t_director_option3_60110105				
60110106	怪物	t_director_title_60110106	我的耳畔回荡着的声音告诉我，一定要除掉你	t_director_dialog_60110106	查看奖励	t_director_option0_60110106	3			离开	t_director_option1_60110106	4			战斗	t_director_option2_60110106	1				t_director_option3_60110106				
60110107	怪物	t_director_title_60110107	守卫这里是我的职责	t_director_dialog_60110107	查看奖励	t_director_option0_60110107	3			离开	t_director_option1_60110107	4			战斗	t_director_option2_60110107	1				t_director_option3_60110107				
60110108	怪物	t_director_title_60110108	人也好，兽也罢，只要能消灭银月城，我们就是同志，你要加入我们吗？	t_director_dialog_60110108	查看奖励	t_director_option0_60110108	3			离开	t_director_option1_60110108	4			战斗	t_director_option2_60110108	1				t_director_option3_60110108				
60110109	怪物	t_director_title_60110109	在一个地洞里蹦出来个影子，是什么呢？	t_director_dialog_60110109	查看奖励	t_director_option0_60110109	3			离开	t_director_option1_60110109	4			战斗	t_director_option2_60110109	1				t_director_option3_60110109				
60110110	怪物	t_director_title_60110110	一些奇怪的声音断断续续的传来，请小心	t_director_dialog_60110110	查看奖励	t_director_option0_60110110	3			离开	t_director_option1_60110110	4			战斗	t_director_option2_60110110	1				t_director_option3_60110110				
60110111	怪物	t_director_title_60110111	一双双贪婪的眼睛盯着你！小心，他们好像把你当成了食物	t_director_dialog_60110111	查看奖励	t_director_option0_60110111	3			离开	t_director_option1_60110111	4			战斗	t_director_option2_60110111	1				t_director_option3_60110111				
60110201	怪物	t_director_title_60110201	竟然有人走到了这里，这帮守护真是废物	t_director_dialog_60110201	查看奖励	t_director_option0_60110201	3			撤退	t_director_option1_60110201	4			战斗	t_director_option2_60110201	1				t_director_option3_60110201				
60110202	怪物	t_director_title_60110202	战斗的声响传到四周，能听到一些脚步声传来	t_director_dialog_60110202	查看奖励	t_director_option0_60110202	3			撤退	t_director_option1_60110202	4			战斗	t_director_option2_60110202	1				t_director_option3_60110202				
60110203	怪物	t_director_title_60110203	是个人类来到了这里，你是来加入我们的吗？	t_director_dialog_60110203	查看奖励	t_director_option0_60110203	3			撤退	t_director_option1_60110203	4			战斗	t_director_option2_60110203	1				t_director_option3_60110203				
60110204	怪物	t_director_title_60110204	如果你乖乖投降的话，我让你死的舒服一点	t_director_dialog_60110204	查看奖励	t_director_option0_60110204	3			撤退	t_director_option1_60110204	4			战斗	t_director_option2_60110204	1				t_director_option3_60110204				
60110205	怪物	t_director_title_60110205	人类就非要赶尽杀绝吗？	t_director_dialog_60110205	查看奖励	t_director_option0_60110205	3			撤退	t_director_option1_60110205	4			战斗	t_director_option2_60110205	1				t_director_option3_60110205				
60110206	怪物	t_director_title_60110206	人类各个都是魔鬼	t_director_dialog_60110206	查看奖励	t_director_option0_60110206	3			撤退	t_director_option1_60110206	4			战斗	t_director_option2_60110206	1				t_director_option3_60110206				
60110301	怪物	t_director_title_60110301	保卫这里的人，是我的职责	t_director_dialog_60110301	查看奖励	t_director_option0_60110301	3			逃跑	t_director_option1_60110301	4			战斗	t_director_option2_60110301	1				t_director_option3_60110301				
60110302	怪物	t_director_title_60110302	任何人都不能伤害我的孩子	t_director_dialog_60110302	查看奖励	t_director_option0_60110302	3			逃跑	t_director_option1_60110302	4			战斗	t_director_option2_60110302	1				t_director_option3_60110302				
60110303	怪物	t_director_title_60110303	我就是力量	t_director_dialog_60110303	查看奖励	t_director_option0_60110303	3			逃跑	t_director_option1_60110303	4			战斗	t_director_option2_60110303	1				t_director_option3_60110303				
60110304	怪物	t_director_title_60110304	你一定是来抢我的宝贝的，我不会让你得逞的	t_director_dialog_60110304	查看奖励	t_director_option0_60110304	3			逃跑	t_director_option1_60110304	4			战斗	t_director_option2_60110304	1				t_director_option3_60110304				
60110305	怪物	t_director_title_60110305	这世间为什么一定要有互相伤害呢	t_director_dialog_60110305	查看奖励	t_director_option0_60110305	3			逃跑	t_director_option1_60110305	4			战斗	t_director_option2_60110305	1				t_director_option3_60110305				
60110306	怪物	t_director_title_60110306	报仇，杀光人类报仇	t_director_dialog_60110306	查看奖励	t_director_option0_60110306	3			逃跑	t_director_option1_60110306	4			战斗	t_director_option2_60110306	1				t_director_option3_60110306				
60110307	怪物	t_director_title_60110307	我不能死，我是最后的力量了	t_director_dialog_60110307	查看奖励	t_director_option0_60110307	3			逃跑	t_director_option1_60110307	4			战斗	t_director_option2_60110307	1				t_director_option3_60110307				
60110401	怪物	t_director_title_60110401	该死的，你伤害了我的孩子们	t_director_dialog_60110401	查看奖励	t_director_option0_60110401	3			逃命	t_director_option1_60110401	4			战斗	t_director_option2_60110401	1				t_director_option3_60110401				
60110402	怪物	t_director_title_60110402	复仇，向人类复仇	t_director_dialog_60110402	查看奖励	t_director_option0_60110402	3			逃命	t_director_option1_60110402	4			战斗	t_director_option2_60110402	1				t_director_option3_60110402				
60110403	怪物	t_director_title_60110403	强大的力量，但是不得不和你战斗了	t_director_dialog_60110403	查看奖励	t_director_option0_60110403	3			逃命	t_director_option1_60110403	4			战斗	t_director_option2_60110403	1				t_director_option3_60110403				
60110404	怪物	t_director_title_60110404	用我的生命换取的强大的力量，一定能打败你	t_director_dialog_60110404	查看奖励	t_director_option0_60110404	3			逃命	t_director_option1_60110404	4			战斗	t_director_option2_60110404	1				t_director_option3_60110404				
60110405	怪物	t_director_title_60110405	我要把你的头骨做成项链，挂在我的脖子上	t_director_dialog_60110405	查看奖励	t_director_option0_60110405	3			逃命	t_director_option1_60110405	4			战斗	t_director_option2_60110405	1				t_director_option3_60110405				
70101001	我	t_director_title_70101001	<color=#fdc83a>银月城</color>，终于到了！到处都是人的感觉太好了	t_director_dialog_70101001		t_director_option0_70101001	0	70101002			t_director_option1_70101001					t_director_option2_70101001					t_director_option3_70101001				
70101002	我	t_director_title_70101002	接下来，像我这种野外来的人，好像只能去<color=#fdc83a>刷子公会</color>了。那里，将是我在这个世界走出的第一步	t_director_dialog_70101002		t_director_option0_70101002	0				t_director_option1_70101002					t_director_option2_70101002					t_director_option3_70101002				
